complaint_text,category,priority,department
Citizens have repeatedly reported public land encroachment.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to illegal sand mining.,Environment,Medium,Environment Department
Multiple complaints have been raised about electric line fault.,Electricity,High,Electricity Department
Authorities have not resolved the certificate issue yet.,Government Services,Medium,Government Services Department
Residents are facing damaged benches in the area.,Parks,Low,Parks Department
The situation is worsening because of missing lights.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the flooded street yet.,Flooding,High,Flooding Department
Authorities have not resolved the broken footpath yet.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving road blockage.,Transport,Medium,Transport Department
Urgent attention is required due to hospital overcrowding.,Healthcare,High,Healthcare Department
There is a serious problem involving sewer blockage.,Sewage,High,Sewage Department
The situation is worsening because of harassment of women.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of river pollution.,Environment,Medium,Environment Department
Authorities have not resolved the building crack yet.,Housing,Medium,Housing Department
Citizens have repeatedly reported medicine shortage.,Healthcare,High,Healthcare Department
There is a serious problem involving waterlogging.,Flooding,High,Flooding Department
Please take immediate action regarding wastewater leakage.,Sewage,High,Sewage Department
Residents are facing broken playground equipment in the area.,Parks,Low,Parks Department
Multiple complaints have been raised about lack of toilets in school.,Education,Medium,Education Department
Please take immediate action regarding loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of cybercrime activity.,Crime,High,Crime Department
Citizens have repeatedly reported assault report.,Crime,High,Crime Department
Urgent attention is required due to wastewater leakage.,Sewage,High,Sewage Department
Citizens have repeatedly reported harassment of women.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported fertilizer shortage.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported favoritism complaint.,Corruption,Medium,Corruption Department
The situation is worsening because of lack of police patrol.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the rainwater accumulation yet.,Flooding,High,Flooding Department
People are suffering because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
People are suffering because of stagnant water.,Drainage,Medium,Drainage Department
There is a serious problem involving unsafe apartment.,Housing,Medium,Housing Department
People are suffering because of chemical discharge.,Pollution,Medium,Pollution Department
People are suffering because of unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing flooded street in the area.,Flooding,High,Flooding Department
The locality has been affected by online service failure for several days.,Digital Services,Low,Digital Services Department
The situation is worsening because of contaminated drinking water.,Water,High,Water Department
Multiple complaints have been raised about eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Urgent attention is required due to fertilizer shortage.,Agriculture,Medium,Agriculture Department
People are suffering because of large potholes.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
There is a serious problem involving toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to unclean park.,Parks,Low,Parks Department
There is a serious problem involving broadband failure.,Telecom,Medium,Telecom Department
People are suffering because of cattle on roads.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of bus delay.,Transport,Medium,Transport Department
The situation is worsening because of blocked fire exit.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing power outage in the area.,Electricity,High,Electricity Department
Authorities have not resolved the network outage yet.,Telecom,Medium,Telecom Department
Please take immediate action regarding large potholes.,Infrastructure,Medium,Infrastructure Department
Residents are facing official misconduct in the area.,Corruption,Medium,Corruption Department
There is a serious problem involving cybercrime activity.,Crime,High,Crime Department
